nct_id,title,official_title,status,start_date,completion_date,primary_completion_date,phase,enrollment,study_type,allocation,intervention_model,primary_purpose,masking,conditions,intervention_types,intervention_names,sponsor,sponsor_type,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,primary_outcome_titles,primary_outcome_descriptions,primary_outcome_timeframes,primary_analyses_data,num_p_values_in_primary,all_p_values_primary,all_param_values_primary,all_ci_data_primary,baseline_participants
NCT00759720,Efficacy and Safety of TAK-559 Combined With Glyburide in Treating Subjects With Type 2 Diabetes Mellitus.,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled, Parallel Study of the Safety and Efficacy of a Combination of TAK-559 and Glyburide Compared to Placebo and Glyburide in the Treatment of Patients With Type 2 Diabetes Mellitus",TERMINATED,2003-11,2004-12,2004-12,PHASE3,447.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Diabetes Mellitus,"DRUG, DRUG, DRUG","TAK-559 and glyburide, TAK-559 and glyburide, Glyburide",Takeda,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT06559722,A Trial Investigating the Efficacy and Safety of Insulin Degludec/Liraglutide Injection in Subjects With Type 2 Diabetes,"A 26-Week,Randomised,Open-Label,Multicenter,Active-Controlled,Parallel-Design,Phase III Clinical Trial to Compare the Efficacy and Safety of Insulin Degludec/Liraglutide Injection With XULTOPHY® Once Daily Via Subcutaneous Injection in Chinese Subjects With Type 2 Diabetes",NOT_YET_RECRUITING,2024-08,2026-02,2025-10,PHASE3,510.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes,"DRUG, DRUG","Insulin Degludec/liraglutide Injection, XULTOPHY®","Tonghua Dongbao Pharmaceutical Co.,Ltd",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00994513,Effect of Alpha Lipoic Acid on Obesity Related Comorbidities,Effect of Alpha Lipoic Acid on Obesity Related Comorbidities,COMPLETED,2009-07,2010-05,2010-05,PHASE2,70.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,PREVENTION,QUADRUPLE,"Obesity, Cardiovascular Disease, Type 2 Diabetes","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT","Alpha Lipoic Acid, Placebo",Augusta University,OTHER,False,0,0,0,,,,,0,,,,
NCT01425580,Liraglutide and Heart Failure in Type 2 Diabetes,Effects on Subclinical Heart Failure in Type 2 Diabetic Subjects on Liraglutide Treatment Versus Glimepiride Both in Combination With Metformin,COMPLETED,2012-01,2016-08,2016-08,PHASE2,62.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Congestive Heart Failure, Type 2 Diabetes Mellitus","DRUG, DRUG, DRUG","liraglutide, glimepiride, Metformin",Thomas Nystrom,OTHER,False,0,0,0,,,,,0,,,,
NCT03141073,Long-term Efficacy and Safety of HMS5552 add-on to Metformin in T2DM Subjects,"A 24-week Multi-center, Randomized, Double-blind, Placebo-controlled, Phase III Study to Evaluate the Efficacy and Safety of HMS5552 add-on to Metformin With Additional 28-week Open-label Treatment to Evaluate the Safety in T2DM Subjects",COMPLETED,2017-10-15,2021-02-28,2021-02-28,PHASE3,767.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2","DRUG, DRUG","HMS5552, Placebo",Hua Medicine Limited,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01316094,A Study to Assess Efficacy and Safety of ASP1941 in Diabetic Patients With Renal Impairment,Long-term Study of ASP1941 - Long-term Study in Patients With Type 2 Diabetes Mellitus With Decreased Renal Function (Japanese),COMPLETED,2011-01-18,2012-11-28,2012-11-28,PHASE3,165.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","ASP1941, placebo",Astellas Pharma Inc,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01556594,Safety and Efficacy of a Novel Glucagon Formulation in Type 1 Diabetic Patients Following Insulin-induced Hypoglycemia,Phase II Study to Investigate the Safety and Efficacy of 2 Dose Levels of a Novel Glucagon Formulation Compared to Commercially Available Glucagon in Type 1 Diabetic Patients Following Insulin-induced Hypoglycemia,COMPLETED,2012-03,2012-07,2012-07,PHASE2,18.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,NONE,Hypoglycemia,"DRUG, DRUG, DRUG, DRUG","Nasal Glucagon 1 mg, Nasal Glucagon 2 mg, SC Glucagon, Nasal Glucagon 3 mg",Eli Lilly and Company,INDUSTRY,True,7,2,5,Percentage of Responders | Number of Participants With at Least One Adverse Event,"Participants with a blood glucose increment of ≥1.5 millimole per liter \[mmol/L) within 15 of nadir (5 minutes post dose) and for at least 10 minutes following nadir. | Safety and tolerability evaluated through the assessment of adverse events. An AE was defined as any untoward medical occurrence in a clinical investigation subject administered the investigational product and which did not necessarily have a causal relationship with this treatment. A summary of other nonserious AEs, and all SAE's, regardless of causality, is located in the Reported Adverse Events section.",Pre-dose; 30 minutes following glucagon administration | Within 3 hours post glucagon administration,,0,,,,36.0
NCT00145093,Effects of Chromium Supplementation on Parameters of the Metabolic Syndrome in Patients With Type 2 Diabetes Mellitus,"The Effects of Organic Chromium Supplementation on Clinical Parameters of the Metabolic Syndrome, in Patients With Type 2 Diabetes Mellitus. A Randomised, Double-Blind, Placebo-Controlled Trial",COMPLETED,2004-08,2005-02,,PHASE3,60.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2",DRUG,Baker's yeast (Bio Chromium),"Medical Research Foundation, The Netherlands",OTHER,False,0,0,0,,,,,0,,,,
NCT01387334,The Effectiveness of Resistance Exercise for Glycemic Control in Type 2 Diabetes Mellitus Patients,The Effectiveness of a Home-Based Resistance Exercise Training Program With Rubber Bands for Glycemic Control in Individuals With Type 2 Diabetes Mellitus,COMPLETED,2007-02,2011-04,2009-02,PHASE2,60.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,BEHAVIORAL,Resistance Exercise Training Program With Rubber Bands,Prince of Songkla University,OTHER,False,0,0,0,,,,,0,,,,
NCT01665352,A Study to Evaluate Safety and Efficacy of TTP054 for 12 Weeks in Subjects With Type 2 Diabetes,"Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging, Parallel Group Study to Evaluate the Safety and Efficacy of TTP054 for 12 Weeks in Subjects With Type 2 Diabetes Mellitus Inadequately Controlled on Metformin",COMPLETED,2012-08,2013-05,2013-05,PHASE2,186.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","TTP054, Placebo",vTv Therapeutics,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01386099,A PK-PD Study of PSN821 in Type 2 Diabetes Patients (T2DM),A Phase IIa Study to Build an Understanding of the Pharmacokinetic-Pharmacodynamic Relationship of PSN821 in Type 2 Diabetes Patients (T2DM).,COMPLETED,2011-05,2012-05,2012-01,PHASE2,66.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","PSN821, Placebo",Prosidion Ltd.,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00481663,A Study of Different Doses of Sitagliptin (MK-0431) in Participants With Type 2 Diabetes Mellitus (MK-0431-014),"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Dose-Ranging Finding Study of Once-Daily Dosing of Sitaglipin (MK-0431) in Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control",COMPLETED,2003-08-19,2006-05-14,2004-07-21,PHASE2,555.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type II Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG","Sitagliptin, Placebo to sitagliptin, Metformin, Rescue",Merck Sharp & Dohme LLC,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00545584,Addition Of Januvia (Sitagliptin) Improves Glycemic Control In Patients Inadequately Controlled By Metformin (MK0431-078),"Multicenter, Open, Pragmatic, Randomized Trial Comparing the Efficacy of 3 Different Lifestyle Interventions After Addition of Sitagliptin to Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Metformin Therapy",COMPLETED,2007-04-01,2009-11-19,2009-11-19,PHASE3,1512.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes Mellitus, Non-Insulin-Dependent","DRUG, BEHAVIORAL, BEHAVIORAL","sitagliptin phosphate, Comparator: Diet, Comparator: Physical Activity",Merck Sharp & Dohme LLC,INDUSTRY,True,2,1,1,Hemoglobin A1c Measurement,Hemoglobin A1c (HbA1c) is a measure of glycated hemoglobin in the blood. HbA1c greater than 6.5% was considered inadequately controlled.,Baseline and Week 24,,0,,,,1970.0
NCT04556760,"Study to Assess the Effect on Glucose Homeostasis of Two Dose Levels of AZD9567, Compared to Prednisolone, in Adults With Type 2 Diabetes","A Phase 2a Randomised, Double Blind, Multi-centre Study to Assess the Effect on Glucose Homeostasis of Two Dose Levels of AZD9567, Compared to Prednisolone, in Adults With Type 2 Diabetes",COMPLETED,2020-11-26,2021-06-09,2021-06-09,PHASE2,46.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, OTHER","AZD9567, Prednisolone, Placebo",AstraZeneca,INDUSTRY,True,28,1,27,Change From Baseline in Glucose Area Under the Plasma Concentration Versus Time Curve From Zero to 4 Hours Post-dose AUC(0-4),"The change from baseline in glucose AUC(0-4) was analysed to determine the Pharmacodynamic (PD) effect of AZD9567 compared to Prednisolone following a standardised Mixed meal tolerance test (MMTT).

In Cohort 1 and 2, Placebo was not administered, therefore in Placebo row the participants analyzed is kept as 0.

In Cohort 3, AZD9567 was not administered, therefore in AZD9567 row the participants analyzed is kept 0.","On Days -1 (baseline), and Days 4 (Treatment period 1 and 2)","[{""groupIds"": [""OG000""], ""groupDescription"": ""Pairwise Comparisons with Prednisolone (AZD9567 72mg vs Prednisolone 40mg)"", ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.036"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-132.9528"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-256.5082"", ""ciUpperLimit"": ""-9.3973""}, {""groupIds"": [""OG001""], ""groupDescription"": ""Pairwise Comparisons with Prednisolone (AZD9567 40mg vs Prednisolone 20mg)"", ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.432"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-142.0330"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-554.8722"", ""ciUpperLimit"": ""270.8061""}, {""groupIds"": [""OG002""], ""groupDescription"": ""Pairwise Comparisons with Prednisolone (Placebo vs Prednisolone 5mg)"", ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.030"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-126.8829"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-236.0426"", ""ciUpperLimit"": ""-17.7233""}]",3,"0.036, 0.432, 0.030","-132.9528, -142.0330, -126.8829","[-256.5082, -9.3973] | [-554.8722, 270.8061] | [-236.0426, -17.7233]",88.0
NCT02420262,A Clinical Trial Comparing Efficacy and Safety of Insulin Degludec/Liraglutide (IDegLira) Versus Basal-bolus Therapy in Subjects With Type 2 Diabetes Mellitus,A Clinical Trial Comparing Efficacy and Safety of Insulin Degludec/Liraglutide (IDegLira) Versus Basal-bolus Therapy in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2015-07-26,2016-10-05,2016-10-05,PHASE3,506.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes, Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG","insulin degludec/liraglutide, insulin glargine, insulin aspart",Novo Nordisk A/S,INDUSTRY,True,5,1,4,Change in HbA1c (Glycosylated Haemoglobin),Change in HbA1c values after 26 weeks of treatment.,"Week 0, Week 26","[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Change from baseline in HbA1c was analysed using a mixed model for repeated measurements with an unstructured covariance matrix. The model included treatment, visit and region as fixed factors and baseline HbA1c as covariate. Interactions between visit and all factors and the covariate were also included in the model."", ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""Non-inferiority for IDegLira vs basal-bolus (IGlar + IAsp) was considered confirmed if the upper boundary of the two-sided 95% confidence interval was strictly below 0.30% or equivalent for non-inferiority using one-sided test for null hypothesis (H0): D \u22650.30% against alternative hypothesis (HA): D \\<0.30% was less than or equal to 2.5%, where D is the mean treatment difference (IDegLira minus basal-bolus)."", ""pValue"": ""<0.0001"", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Treatment contrast"", ""paramValue"": ""-0.02"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.16"", ""ciUpperLimit"": ""0.12""}]",1,<0.0001,-0.02,"[-0.16, 0.12]",1012.0
NCT06062069,A Study of CT-868 in Type 1 Diabetes Mellitus,"A Phase 2, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Efficacy, Safety, Tolerability, and Pharmacokinetics of CT-868 Administered for 16 Weeks to Overweight and Obese Adult Participants With Type 1 Diabetes Mellitus",COMPLETED,2023-10-19,2025-07-09,2025-07-09,PHASE2,111.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Overweight, Obese, Type 1 Diabetes Mellitus","DRUG, DEVICE, DRUG","CT-868, CT-868 Pen Injector, CT-868 Pen Injector, Placebo","Carmot Therapeutics, Inc.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00644241,Efficacy Of Autologous Bone Marrow Derived Stem Cell Transplantation In Patients With Type 2 Diabetes Mellitus,Efficacy Of Autologous Bone Marrow Derived Stem Cell Transplantation In Patients With Type 2 Diabetes Mellitus,COMPLETED,2008-01,2009-06,2009-06,PHASE2,10.0,INTERVENTIONAL,NA,SINGLE_GROUP,TREATMENT,NONE,Type 2 Diabetes Mellitus,"BIOLOGICAL, PROCEDURE","stem cell harvest, angiographic transplantation of stem cells","Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER,False,0,0,0,,,,,0,,,,
NCT00214591,GALLANT 5 Tesaglitazar Versus Metformin,"A 52-wk Randomised, Double-Blind, Parallel-Group, Multi-Centre, Active-Controlled (Metformin) Study to Evaluate the Efficacy, Safety & Tolerability of Tesaglitazar Therapy When Administered to Patients With Type 2 Diabetes",TERMINATED,2004-08,2006-12,2006-12,PHASE3,580.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes Mellitus, Type 2",DRUG,GALIDA,AstraZeneca,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00789750,Colesevelam as Add-on to Pioglitazone Therapy for Type 2 Diabetes Mellitus,"A Randomized, Double-Blind, Placebo Controlled, Parallel Group Study of the Efficacy and Safety of WELCHOL as Add-on to Pioglitazone Therapy for Type 2 Diabetes Mellitus (T2DM)",COMPLETED,2009-04,2012-07,2012-07,PHASE3,562.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG","Colesevelam, Placebo, Pioglitazone",Daiichi Sankyo,INDUSTRY,True,19,1,18,Change From Baseline in Hemoglobin A1c (HbA1c) at Week 24,,"Baseline, Week 24","[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Treatment difference = Colesevelam - Placebo"", ""nonInferiorityType"": ""OTHER"", ""pValue"": ""<0.001"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.32"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.49"", ""ciUpperLimit"": ""-0.16"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.084""}]",1,<0.001,-0.32,"[-0.49, -0.16]",1124.0
NCT04741074,Effect of Subcutaneous Semaglutide on Kidney Transplant Candidacy,A RAndomized trIal Examining the Effect of Subcutaneous Semaglutide on Kidney Transplant Candidacy for Patients With Stage 4-5 CKD or Dialysis-dependent ESKD,TERMINATED,2021-07-23,2023-01-31,2023-01-31,PHASE3,15.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"CKD, Diabetic Kidney Disease, Type 2 Diabetes Mellitus in Obese, Obesity, Severe Obesity","DRUG, DRUG","Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution, Placebo 1.5 ml, prefilled pen-injector for subcutaneous injection solution",Geisinger Clinic,OTHER,True,26,1,7,Kidney Transplant Eligibility,Proportion either listed for kidney transplant at 9 months or meeting the following kidney transplant candidacy criteria for A1c (\<9%) and obesity (BMI \<35 kg/m2 or BMI 35-40 kg/m2 with waist circumference \<120 cm),Ascertained at the end of 9 months,,0,,,,30.0
NCT01585818,Dietary Intervention in Diabetes Mellitus (DIDM)- Intermediate and Acute Effects,"Nutrition Studies and Dietary Intervention in Individuals With Type 2 Diabetes Mellitus of Chinese, Malay and Indian Ethnicity",UNKNOWN,2011-08,2014-08,2014-05,PHASE2,160.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes Mellitus,"OTHER, OTHER","Low Glycemic Index (LGI) intervention arm, Standard Diet Intervention","National University Hospital, Singapore",OTHER,False,0,0,0,,,,,0,,,,
NCT03851432,Janagliflozin Treat Type 2 Diabetes Mellitus (T2DM) Inadequately Controlled With Metformin,Efficacy and Safety of Janagliflozin in Combination With Metformin in Type 2 Diabetes Patients With Inadequate Glycemic Control With Metformin Alone,UNKNOWN,2019-06-30,2021-12-31,2020-04-30,PHASE3,390.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DEVICE","Janagliflozin plus metformin, Janagliflozin plus metformin, Placebo plus metformin",Sihuan Pharmaceutical Holdings Group Ltd.,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT06363747,The Medically Reproducing Bariatric Surgery (MRB) II Study,The Medically Reproducing Bariatric Surgery (MRB) II Study: SEMAGLUTIDE Followed by OPTIFAST in Veterans With Type 2 Diabetes,ACTIVE_NOT_RECRUITING,2024-06-24,2025-11-03,2025-11-03,PHASE2,50.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Type 2 Diabetes, Obesity",OTHER,Very Low Calorie Diet,Durham VA Medical Center,FED,False,0,0,0,,,,,0,,,,
NCT00737152,Evaluate the Side Effects and Benefits of RAS 130 With or Without Diet and Exercise in Type II Diabetes Mellitus,"Phase II, Open-Label Study to Assess the Cardiovascular Side Effects and Efficacy for Reducing Blood Glucose Level in Type II Diabetes Mellitus Patients Being Treated With RAS 130 With or Without Diet and Exercise",UNKNOWN,2011-07,2014-04,2014-04,PHASE2,460.0,INTERVENTIONAL,NON_RANDOMIZED,PARALLEL,TREATMENT,NONE,Type II Diabetes Mellitus,OTHER,RAS 130 with diet and exercise,American Scitech International,OTHER,False,0,0,0,,,,,0,,,,
NCT00491543,"Evaluation of ALT-2074 in Subjects With Type-2 Diabetes, Haptoglobin Type 2-2 Genotype and Coronary Artery Disease","A Randomized, Double-Blind, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Pharmacodynamics of ALT 2074 in Subjects With Type 2 Diabetes Who Have a Haptoglobin Type 2-2 Genotype and Coronary Artery Disease",COMPLETED,2007-06,2008-05,,PHASE2,66.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes, Coronary Artery Disease",DRUG,ALT-2074,"Synvista Therapeutics, Inc",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01326026,Comparing the Efficacy and Safety of NN1250 Once Daily When Titrated Using 2 Different Algorithms in Insulin naïve Subjects With Type 2 Diabetes Mellitus,A Trial Comparing the Efficacy and Safety of Insulin Degludec Once Daily in Insulin naïve Subjects With Type 2 Diabetes Mellitus When Titrated Using Two Different Titration Algorithms (BEGIN™: ONCE SIMPLE USE),COMPLETED,2011-03,2011-12,2011-12,PHASE3,222.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes, Diabetes Mellitus, Type 2","DRUG, DRUG","insulin degludec, insulin degludec",Novo Nordisk A/S,INDUSTRY,True,5,1,4,Change in Glycosylated Haemoglobin (HbA1c),Change from baseline in HbA1c after 26 weeks of treatment.,"Week 0, Week 26",,0,,,,444.0
NCT00389896,A Crossover Study to Evaluate the Efficacy of Simvastatin in Elevating HDL-C Levels in Patients With Type 2 Diabetes (0733-216)(COMPLETED),"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Balanced, Three-Way Crossover Study to Evaluate the Efficacy of Simvastatin Therapy in Elevating HDL-C Levels in Patients With Type 2 Diabetic Dyslipidemia and Low HDL-C",COMPLETED,2001-07-26,2002-10-04,2002-10-04,PHASE3,150.0,INTERVENTIONAL,RANDOMIZED,CROSSOVER,TREATMENT,DOUBLE,HDL Cholesterol,"DRUG, DRUG","MK0733 / Duration of Treatment: 18 Weeks, Comparator: placebo (unspecified) / Duration of Treatment: 18 Weeks",Organon and Co,INDUSTRY,False,0,0,0,,,,,0,,,,
